Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry
North Beach Caravan and Camping Park,http://www.northbeach.ie/,+353(0)18437131,-6.086624,53.525809,Dublin,Rush,Republic of Ireland
Nore Valley Park,http://www.norevalleypark.com,+353(0)567727229,-7.195212,52.563372,Kilkenny,Bennettsbridge,Republic of Ireland
Jasmine Villa,,+353(0)214883234,-8.23967,51.911458,Cork,Carrigtwohill,Republic of Ireland
Galey Bay Caravan and Camping Park,http://www.galeybaycamping.ie,+353(0)906661058,-8.066907,53.577145,Roscommon,Roscommon,Republic of Ireland
Glen Ross Caravan and Camping Park,http://www.campingkerry.com,+353(0)871376865,-9.937182,52.059178,Kerry,Ring Of Kerry,Republic of Ireland
Keel Sandybanks Caravan and Camping Park,http://www.achillcamping.com,+353(0)9843211,-10.077045,53.974912,Mayo,Achill Island -Acaill,Republic of Ireland
Pairc Saoire an Spideil,http://www.spiddalmobilehomes.ie,+353(0)91553372,-9.30654850814173,53.2550771917957,Galway,Spiddal,Republic of Ireland
Cong Caravan and Camping Park,https://www.congcamping.com/,+353(0)949546089,-9.274104,53.536162,Mayo,Cong,Republic of Ireland
Donoghues White Villa Farm Caravan Park,http://www.killarneycaravanpark.com,+353(0)646620671,-9.45340313675683,52.0475282892549,Kerry,Killarney,Republic of Ireland
Lakeside Holiday Park,http://www.lakesideireland.com,+353(0)61927225,-8.420733,52.927549,Clare,Mountshannon,Republic of Ireland
Blarney Caravan and Camping Park,http://www.blarneycaravanpark.com,+353(0)214516519,-8.5461,51.947423,Cork,Blarney,Republic of Ireland
"Belleek Park, Caravan and Camping Park",http://www.belleekpark.com/,+353(0)9671533,-9.156827,54.133439,Mayo,Ballina,Republic of Ireland
Killarney Flesk Caravan Park,http://www.killarneyfleskcamping.com,+353(0)646631704,-9.500344,52.043889,Kerry,Killarney,Republic of Ireland
Parsons Green,http://www.clogheen.com/,+353(0)527465290,-7.990178,52.281875,Tipperary,Clogheen,Republic of Ireland
Lough Ramor Caravan and Camping Park,,+353(0)872825976,-7.049428,53.795701,Cavan,Virginia,Republic of Ireland
Moat Farm Caravan and Camping Park,,+353(0)45404727,-6.61498939154058,53.0210723710471,Wicklow,Dunlavin,Republic of Ireland
Rosguill Caravan and Camping Park,http://www.rosguillholidaypark.com,+353(0)749155766,-7.790903,55.242799,Donegal,Downings,Republic of Ireland
Atlantic Caravan Park,http://www.atlanticcaravanpark.com,+353(0)9636132,-9.098574,54.209892,Sligo,Enniscrone,Republic of Ireland
Corofin Village Camping and Caravan,http://www.corofincamping.com,+353(0)656837683,-9.064928,52.945496,Clare,Corofin,Republic of Ireland
Glenbeg Caravan Park,,+353(0)669475182,-10.0814964059234,51.7589518737297,Kerry,Caherdaniel,Republic of Ireland
Woodlands Park,http://www.kingdomcamping.com,+353(0)667121235,-9.703761,52.261393,Kerry,Tralee,Republic of Ireland
Lough Lannagh Caravan Park,http://www.loughlannagh.ie/caravan-camping,+353(0)949027111,-9.32456043377692,53.8491739420252,Mayo,Castlebar,Republic of Ireland
Sir Rogers Caravan and Camping Park,http://www.sirrogers.com/,+353(0)667134730,-9.82525303823632,52.3402171832763,Kerry,Ardfert,Republic of Ireland
Adare Camping & Caravan Site,http://www.adarecamping.com,+353(0)61395376,-8.793513,52.538133,Limerick,Adare,Republic of Ireland
The Trading Post Camper Park,http://www.wexfordcamping.com,+353(0)539127368,-6.40300671969492,52.4563544897566,Wexford,Enniscorthy,Republic of Ireland
O'Briens Cashel Lodge,http://www.cashel-lodge.com,+353(0)6261003,-7.895595,52.520046,Tipperary,Cashel,Republic of Ireland
Clifden Campsite and Caravan Park,http://www.clifdencamping.com,+353(0)9522150,-10.018164,53.501827,Galway,Clifden,Republic of Ireland
Lough Arrow Touring Park,http://www.lougharrowcaravanpark.com/,+353(0)862194005,-8.30011801630235,54.0626297949237,Sligo,Riverstown,Republic of Ireland
Beirnes of Battlebridge,http://www.battlebridgecaravanandcamping.ie/,+353(0)719650824,-8.080726,53.995858,Leitrim,Carrick-on-Shannon,Republic of Ireland
Currarevagh House,http://www.currarevagh.com,+353(0)91552312,-9.35071944837955,53.4644396990922,Galway,Oughterard,Republic of Ireland
O'Connors Guesthouse,http://www.cloghane.com,+353(0)667138113,-10.18317,52.233357,Kerry,Dingle Peninsula,Republic of Ireland
Portree Guesthouse,http://www.portreeguesthouse.ie,+353(0)51874574,-7.12097,52.263876,Waterford,Waterford City,Republic of Ireland
Tahilla Cove,http://www.tahillacove.com,+353(0)646645204,-9.805521,51.830778,Kerry,Tahilla,Republic of Ireland
Kilronan Guesthouse,http://www.kilronanhouse.com,+353(0)14755266,-6.259615,53.332972,Dublin,Dublin City,Republic of Ireland
Coolcower House,http://www.coolcowerhouse.ie,+353(0)2641695,-8.942526,51.887492,Cork,Macroom,Republic of Ireland
Egans House,http://www.eganshouse.ie,+353(0)18303611,-6.266513,53.366995,Dublin,Glasnevin,Republic of Ireland
Ariel Guesthouse,http://www.ariel-house.net,+353(0)16685512,-6.231076,53.334158,Dublin,Dublin City,Republic of Ireland
The Bianconi Inn,http://www.bianconi.ie,+353(0)669761146,-9.784853,52.106065,Kerry,Killorglin,Republic of Ireland
Foleys Town House,http://www.foleystownhouse.com,+353(0)646631217,-9.509911,52.060817,Kerry,Killarney,Republic of Ireland
Crocnaraw Country House,http://www.crocnaraw.ie,+353(0)9541068,-10.006736,53.542654,Galway,Moyard,Republic of Ireland
Alpine House,http://www.alpineguesthouse.com,+353(0)669151250,-10.269051,52.137541,Kerry,Dingle,Republic of Ireland
Atlantic,http://www.atlanticguesthouse.ie,+353(0)749721187,-8.107926,54.65376,Donegal,Donegal Town,Republic of Ireland
The Castle,http://www.castle-townshend.com,+353(0)2836100,-9.172633,51.529556,Cork,Castletownshend,Republic of Ireland
Ballymaloe House,http://www.ballymaloe.ie,+353(0)214652531,-8.07828622753902,51.8669115203562,Cork,Midleton,Republic of Ireland
Richmond House,http://www.richmondhouse.net,+353(0)5854278,-7.846703,52.139255,Waterford,Cappoquin,Republic of Ireland
Adare Guesthouse,http://www.adareguesthouse.ie,+353(0)91582638,-9.059696,53.268318,Galway,Galway City,Republic of Ireland
Piker's Lodge,http://www.pikerslodge.com,+353(0)436683109,-7.53401,53.87287,Cavan,Lough Gowna,Republic of Ireland
Ach na Sheen,http://www.achnasheen.ie,+353(0)6251298,-8.154841,52.47301,Tipperary,Tipperary Town,Republic of Ireland
Harveys Guesthouse,http://www.harveysguesthouse.com,+353(0)18748384,-6.259954,53.35735,Dublin,Dublin City,Republic of Ireland
Lehinch Lodge,http://www.lehinchlodge.ie/,+353(0)657081242,-9.338958,52.934156,Clare,Lahinch,Republic of Ireland
Faythe Guesthouse,http://www.faytheguesthouse.com,+353(0)539122249,-6.457424,52.333035,Wexford,Wexford Town,Republic of Ireland
19th Green,http://www.19thgreen-bb.com/,+353(0)646632868,-9.561579,52.068859,Kerry,Killarney,Republic of Ireland
Smugglers Inn,http://www.thesmugglersinn.ie,+353(0)669474330,-10.194902,51.837091,Kerry,Waterville,Republic of Ireland
Bay View,http://www.lahiffsbayview.com,+353(0)657084006,-9.439327,52.852305,Clare,Miltown Malbay,Republic of Ireland
Ardagh House,http://www.ardagh-house.ie/,+353(0)14977068,-6.264094,53.312966,Dublin,Dublin 6,Republic of Ireland
Ashleigh House,,+353(0)4781227,-6.966247,54.247553,Monaghan,Monaghan,Republic of Ireland
Rathsallagh House,http://www.rathsallagh.com,+353(0)45403112,-6.728485,53.028458,Wicklow,Dunlavin,Republic of Ireland
Glendine Inn,http://www.glendineinn.com,+353(0)567721069,-7.252903,52.667122,Kilkenny,Kilkenny City,Republic of Ireland
Woodhill House,http://www.woodhillhouse.com,+353(0)749541112,-8.4052,54.758407,Donegal,Ardara,Republic of Ireland
Fitzwilliam Townhouse,http://www.fitzwilliamtownhouse.com,+353(0)16625155,-6.2491130382192,53.3365408699711,Dublin,Dublin 2,Republic of Ireland
Saint George Guesthouse,http://www.stgeorgeguesthouse.com,+353(0)539143474,-6.466749,52.339483,Wexford,Wexford Town,Republic of Ireland
Garnish House,http://www.garnish.ie,+353(0)214275111,-8.488465,51.895895,Cork,Cork,Republic of Ireland
The White House,http://www.whitehouse-kinsale.ie,+353(0)214772125,-8.523351,51.706606,Cork,Kinsale,Republic of Ireland
Anglers Rest,http://www.anglersrest.ie,+353(0)499526391,-7.584,54.116469,Cavan,Ballyconnell,Republic of Ireland
Butler House,http://www.butler.ie,+353(0)567765707,-7.250929,52.648837,Kilkenny,Kilkenny,Republic of Ireland
Tierneys,http://www.tierneys-kinsale.com,+353(0)214772205,-8.52393,51.705526,Cork,Kinsale,Republic of Ireland
Foleys Guesthouse,http://www.foleyskenmare.com,+353(0)646642162,-9.583387,51.879391,Kerry,Kenmare,Republic of Ireland
Aisleigh,http://www.aisleighguesthouse.com,+353(0)719620313,-8.079963,53.946398,Leitrim,Carrick On Shannon,Republic of Ireland
The Old Bank Town House,http://www.oldbankhousekinsale.com,+353(0)214774075,-8.521975,51.705998,Cork,Kinsale,Republic of Ireland
Bunbeg House,http://www.bunbeghouse.com,+353(0)749531305,-8.309111,55.057886,Donegal,Bunbeg,Republic of Ireland
Grovemount House,http://www.grovemount.clareireland.net,+353(0)657071431,-9.303594,52.9397049999999,Clare,Ennistymon,Republic of Ireland
Cawleys Guesthouse,http://www.cawleysguesthouse.ie,+353(0)719185025,-8.728024,54.053906,Sligo,Tubbercurry,Republic of Ireland
MacNean House,http://www.nevenmaguire.com,+353(0)719853022,-7.876309,54.291218,Cavan,Blacklion,Republic of Ireland
Charleville Lodge,http://www.charlevillelodge.ie,+353(0)18386633,-6.279831,53.35915,Dublin,Dublin City,Republic of Ireland
Moloney House,http://www.moloneyhouse.ie,+353(0)871250303,-9.38285351901436,53.0136557193409,Clare,Doolin,Republic of Ireland
Ahernes,http://www.ahernes.com,+353(0)2492424,-7.851804,51.95706,Cork,Youghal,Republic of Ireland
Barrowville Town House,http://www.barrowville.com,+353(0)599143324,-6.934143,52.83273,Carlow,Carlow Town,Republic of Ireland
Killarney House,http://www.killarneyhouse.com,+353(0)214270290,-8.49290742593382,51.895045443919,Cork,Cork City,Republic of Ireland
Tigh Chualain,http://www.tighchualain.com,+353(0)91553609,-9.352179,53.244719,Galway,Inverin,Republic of Ireland
Ceol Na Mara,http://www.ceol-na-mara.com,+353(0)9636351,-9.095079,54.212295,Sligo,Enniscrone,Republic of Ireland
Gleann Fia Country House,http://www.Gleannfia.com,+353(0)646635035,-9.50646923822023,52.0751233291774,Kerry,Killarney,Republic of Ireland
Ard Einne House,http://www.ardeinne.com/,+353(0)9961126,-9.65556,53.100168,Galway,Inishmore - Árainn,Republic of Ireland
Stauntons on the Green,http://www.stauntonsonthegreen.ie/,+353(0)12586937,-6.259615,53.336606,Dublin,Dublin City,Republic of Ireland
Tigh Fitz,http://www.tighfitz.com,+353(0)9961213,-9.66416802083199,53.1056002634114,Galway,Inishmore - Árainn,Republic of Ireland
Dublin Central Inn,http://www.dublincityinn.com,+353(0)18749202,-6.25661,53.350235,Dublin,Dublin City,Republic of Ireland
Clon Ross,http://corkaccommodation.ie/accommodation/clon-ross/,+353(0)214502602,-8.457949,51.902424,Cork,Cork City,Republic of Ireland
Riversdale Farm B&B,http://www.riversdaleholidays.com,+353(0)719644122,-7.794931,54.029499,Leitrim,Ballinamore,Republic of Ireland
Coach House,http://www.butlerstowncastle.com,+353(0)862238102,-7.183638,52.228156,Waterford,Butlerstown,Republic of Ireland
Inveraray Farm,http://www.inverarayfarm.com,+353(0)646644224,-9.63481770465705,52.0646260819007,Kerry,Killarney,Republic of Ireland
Clifden Guesthouse,http://www.thekeycollection.ie/clifden-guesthouse.html,+353(0)18665626,-6.260378,53.355915,Dublin,Dublin City,Republic of Ireland
Hanora's Cottage,http://www.hanorascottage.com,+353(0)526136134,-7.633908,52.277388,Waterford,Ballymacarbry,Republic of Ireland
Ben View House,http://www.benviewhouse.com,+353(0)9521256,-10.020801,53.488768,Galway,Clifden,Republic of Ireland
Ardmore House,,+353(0)429741088,-6.903012,54.127749,Monaghan,Ballybay,Republic of Ireland
The Olde Post Inn,http://www.theoldepostinn.com,+353(0)4755555,-7.372644,54.074911,Cavan,Belturbet,Republic of Ireland
Teach De Broc,http://www.ballybuniongolf.com,+353(0)6827581,-9.673196,52.493981,Kerry,Ballybunion,Republic of Ireland
Cullinan’s Guesthouse,http://www.cullinansdoolin.com,+353(0)657074183,-9.377322,53.01641,Clare,Doolin,Republic of Ireland
Glenwood House,http://www.glenwoodguesthouse.com,+353(0)214373878,-8.39501,51.821404,Cork,Carrigaline,Republic of Ireland
Glen Guesthouse,http://www.glenguesthouse.com,+353(0)18551374,-6.254781,53.351642,Dublin,Dublin City,Republic of Ireland
Inishmore House,http://www.inishmorehouse.com,+353(0)91582639,-9.066942,53.267124,Galway,Lower Salthill,Republic of Ireland
Moorings,http://www.moorings.ie,+353(0)669477108,-10.365941,51.885694,Kerry,Portmagee,Republic of Ireland
Mountain View,http://www.mountain-view-galway.com,+353(0)91550306,-9.280312,53.41279,Galway,Oughterard,Republic of Ireland
Gleesons Townhouse and Restaurant,http://www.gleesonstownhouse.com,+353(0)906626954,-8.19146,53.630932,Roscommon,Roscommon Town,Republic of Ireland
Fuchsia House,http://www.fuchsiahouse.com,+353(0)646633743,-9.507512,52.050792,Kerry,Killarney,Republic of Ireland
The Gables,http://www.gablesguesthouseandleisurecentre.com,+353(0)45435330,-6.79325912764738,53.1751117361866,Kildare,Newbridge,Republic of Ireland
Greenmount House,http://www.greenmounthouse.ie,+353(0)669151414,-10.262922,52.138307,Kerry,Dingle,Republic of Ireland
Waterside House,http://www.watersideguesthouse.com,+353(0)599724246,-6.953757,52.540384,Kilkenny,Graiguenamanagh,Republic of Ireland
Corrib Wave House,http://www.corribwave.com,+353(0)91552147,-9.288752,53.432218,Galway,Oughterard,Republic of Ireland
The Maltings Bed and Breakfast,http://www.themaltingsbirr.com,+353(0)579121345,-7.914953,53.094383,Offaly,Birr,Republic of Ireland
Brookhaven,http://www.brookhavenhouse.com,+353(0)669474431,-10.178488,51.840188,Kerry,Waterville,Republic of Ireland
Pembroke Townhouse,http://www.pembroketownhouse.ie,+353(0)16600277,-6.238025,53.332534,Dublin,Dublin 4,Republic of Ireland
Harbour House B&B,http://www.harbourhousebb.com,+353(0)539425117,-6.22928027918533,52.644582828659,Wexford,Gorey,Republic of Ireland
