Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
A Touch of Ireland Ltd.,http://atouchofireland.ie/,+353(0)16680888,-6.236283,53.336932,Dublin,Dublin City,Republic of Ireland,"Covid Safety Charter,Activity Operator,Tour"
Aasleagh Falls,,,-9.672464,53.618081,Mayo,Delphi,Republic of Ireland,Discovery Point
Abbey Ireland & UK,http://www.abbey.ie,+353(0)16486100,-6.27682906018833,53.3446096824302,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
Abbey Par 3 Golf Club,,+353(0)866084257,-6.862713,52.231827,Wexford,Fethard On Sea,Republic of Ireland,"Pitch And Putt,General,Pitch and Putt"
Abbey Road Artists’ Studios,http://www.athloneartsandtourism.ie/artists-studios/,353906442154,-7.9442923,53.429856,Westmeath,Athlone,Republic of Ireland,"Craft,Shopping,Art Gallery"
Abbey Road Gardens,https://www.facebook.com/waterfordgardentrail/,353872209026,-7.102184,52.264196,Waterford,Ferrybank,Republic of Ireland,"Gardens,Garden"
Abbey Theatre,http://www.abbeytheatre.ie,+353(0)18787222,-6.257107,53.34854,Dublin,Dublin City,Republic of Ireland,"Covid Safety Charter,Venue,Music,Food and Drink,Pubs and Bar,Cafe,Activity Operator,Tour"
Abbey Theatre Tours,http://www.abbeytheatre.ie,+353(0)18787222,-6.257107,53.34854,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
Abbeyderg Abbey and Graveyard,http://visitlongford.ie/listings/abbeyderg-abbey,353433346566,-7.78910667668568,53.6334654024929,Longford,Kenagh,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Abbeyfeale Farmers Market,https://www.iomst.ie/market/abbeyfeale-farmers-market/,353876866450,-9.301963,52.384547,Limerick,Abbeyfeale,Republic of Ireland,"Food and Drink,Restaurant,Shopping,Shopping Centres and Department Store,Food Shops"
Abbeyleix Golf Club,http://www.abbeyleixgolfclub.ie,353578731450,-7.3372447,52.921763,Laois,Abbeyleix,Republic of Ireland,"Golf,Golf Course"
Abbeyleix Heritage House,http://www.abbeyleixheritage.com/about-us/,353578731653,-7.3464114,52.9172919,Laois,Abbeyleix,Republic of Ireland,"Covid Safety Charter,Tracing Your Ancestors,Museums and Attraction,Historic Houses and Castle,Cafe,Food and Drink,Tour"
Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,-7.35307920316802,52.9068305299693,Laois,Abbeyleix,Republic of Ireland,"Walking,Natural Landscape"
Abbeyshrule Monastery,http://www.facebook.com/AbbeyshruleAbbey,353433342577,-7.6583470787125,53.5796914273899,Longford,Abbeyshrule,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
About Cork Taxi Tours,http://www.aboutcorktaxitours.com,+353(0)2546788,-8.47400571035269,51.8984153316716,Cork,Cork City,Republic of Ireland,"Activity Operator,Tour"
Aboveboard,https://www.facebook.com/aboveboardkitesupwakebike,35312804774,-6.14870248101192,53.2972947317128,Dublin,Dún Laoghaire,Republic of Ireland,"Cycling,Kitesurfing,Windsurfing,Activity Operator,Surfing"
Acapulco Dublin,http://www.acapulco.ie,+353(0)16771085,-6.264233,53.343616,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant"
Accents Coffee & Tea Lounge,http://www.accents-lounge.com,+353(0)14160040,-6.2647229331352,53.3413375482743,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar"
ACET - Cork Language Centre International,https://www.acetireland.ie,353214551661,-8.4692546,51.9022032,Cork,Cork City,Republic of Ireland,"Covid Safety Charter,Learning"
Achill Archaeological Field School - Scoil Seandálúil Acla,http://www.achill-fieldschool.com,3539843564,-10.1285782,53.9747652,Mayo,Achill Island -Acaill,Republic of Ireland,"Covid Safety Charter,Learning,Activity Operator"
Achill Bikes - Bike Rental,http://www.achillbikes.com,353872437686,-10.1328197,53.9742244,Mayo,Achill Island -Acaill,Republic of Ireland,"Cycling,Activity Operator,Bike Rental"
Achill Cliff House Restaurant,https://www.achillcliff.com/en/restaurant/about-restaurant,3539843400,-10.0810517,53.976098,Mayo,Achill Island -Acaill,Republic of Ireland,"Food and Drink,Restaurant"
Achill Cycle Hub,http://www.irishtrails.ie/Trail/Achill-Cycle-Hub---Loop-1/1144/,+353(0)9847353,-9.99073259547387,53.9626100660387,Mayo,Achill Island -Acaill,Republic of Ireland,"Cycling,Island,Offshore Island"
Achill Experience and Aquarium,http://www.achillexperience.ie,3539843292,-10.080603,53.983983,Mayo,Achill Island -Acaill,Republic of Ireland,"Covid Safety Charter,Museums and Attraction,Zoos and Aquarium,Food Shops,Shopping"
Achill Golf Club,http://www.achillgolf.com,3539843456,-10.0676021,53.97578,Mayo,Achill Island -Acaill,Republic of Ireland,"Golf,Golf Course"
Achill Heritage Centre,https://achillheritagecentre.wordpress.com,353863406396,-9.9833712,53.9762269,Mayo,Achill Island -Acaill,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction,Activity Operator"
Achill Island - Dooagh Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Dooagh-Loop/498/,,-10.1242851467434,53.9729098377987,Mayo,Achill Island -Acaill,Republic of Ireland,"Walking,Natural Landscape"
Achill Island -Acaill,http://achilltourism.com/,+353(0)9820400,-9.99389294297557,53.9517526424668,Mayo,Achill Island -Acaill,Republic of Ireland,"Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cycling,Fishing,Angling,Golf,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking,Island,Offshore Island"
"Achill Island Blueway, Achill Island",https://www.facebook.com/BluewayIreland,+353(0)9825711,-10.1260904496032,53.97379137841,Mayo,Achill Island -Acaill,Republic of Ireland,Beach
Achill Island Heritage Tours,http://www.achillcoaches.ie/heritage-tours,+353(0)858505025,-10.1368075500764,53.9732731739707,Mayo,Achill Island -Acaill,Republic of Ireland,"Activity Operator,Tour"
Achill Isle Walks,http://www.achillislehouse.com/tours.html,+353(0)868439683,-9.99073259547387,53.9626100660387,Mayo,Achill Island -Acaill,Republic of Ireland,"Covid Safety Charter,Walking,Activity Operator,Tour"
Achill Outdoor Education Centre,http://www.achilloutdoor.com,3539847253,-9.9685692,53.9576243,Mayo,Achill Island -Acaill,Republic of Ireland,"Adventure Park,Activity Operator"
Achill Seaweed Baths,https://www.facebook.com/AchillSeaweedBaths,353877171713,-10.0451336,53.9776589,Mayo,Achill Island -Acaill,Republic of Ireland,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa"
Achill Secret Garden,http://www.achillsecretgarden.com,353874149895,-9.9595077,53.875656,Mayo,Achill Island -Acaill,Republic of Ireland,"Gardens,Garden,Tour"
Achill Surf & Kayak,http://www.achillsurf.com,353851554376,-10.0792666145332,53.9725795088618,Mayo,Achill Island -Acaill,Republic of Ireland,"Cycling,Kayaking,Activity Operator,Surfing,Walking,Venue,Sports Venues"
Acorn Restaurant,https://www.castleoaks.ie/acorn-restaurant,35361377666,-8.5085895,52.7095672,Limerick,Castleconnell,Republic of Ireland,"Food and Drink,Restaurant,Seafood,Vegetarian"
Activate,http://www.Activatewaterford.ie,35351325097,-7.0895609,52.242381,Waterford,Waterford City,Republic of Ireland,"Covid Safety Charter,Climbing,Activity Operator,Movies,Cinema,Venue,Cafe,Food and Drink"
Activities Ireland,https://www.activitiesireland.ie,35315056794,-6.4491178,53.3583925,Dublin,Lucan,Republic of Ireland,"Golf,Activity Operator,Venue,Sports Venues,Tour"
Activity Days Ltd.,http://activitydays.ie,353873306306,-8.5674229,51.9395051,Cork,Blarney,Republic of Ireland,"Covid Safety Charter,Cycling,Food and Drink,Restaurant,Kayaking,Activity Operator,Sailing,Walking,Tour"
Adam Ladd Tours,https://www.adamladdtours.com/,353851572537,-6.3007858,53.3403825,Dublin,Kilmainham,Republic of Ireland,"Activity Operator,Tour,Walking,Day Tour"
Adams & Butler,http://www.adamsandbutler.com/golf,35312889355,-6.215285,53.300625,Dublin,Mount Merrion,Republic of Ireland,"Covid Safety Charter,Golf,Activity Operator,Tour"
Adare Franciscan Friary,http://www.adaremanor.com,35361396204,-8.77973613258908,52.5518669162486,Limerick,Adare,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Adare Heritage Centre,http://www.adareheritagecentre.ie,35361396666,-8.7898313,52.5647887,Limerick,Adare,Republic of Ireland,"Covid Safety Charter,Restaurant,Shopping,Shopping Centres and Department Store,Craft,Tracing Your Ancestors,Museums and Attraction,Cafe,Food and Drink,Tour,Food Shops"
Adare Village & Riverbank Walk,,,-8.79321382607429,52.562085705516,Limerick,Adare,Republic of Ireland,Walking
Adare Woollens,http://www.adarewoollens.com,35361396922,-8.789833,52.56479,Limerick,Adare,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
Adelaide Memorial Church,http://www.carlowtourism.com,353599157671,-6.778635,52.684946,Carlow,Myshall,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Adelaide Road Presbyterian Church,http://www.adelaideroadchurch.ie,+353(0)12694944,-6.258781,53.332501,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Adrian Cooke Classical Art Atelier,http://www.classicalartatelier.com,353876609644,-7.250912,52.17701,Waterford,Annestown,Republic of Ireland,"Learning,Activity Operator"
Adrigole Arts,http://www.hungryhillgallery.com,3532760234,-9.7104121,51.6844057,Cork,Adrigole,Republic of Ireland,"Craft,Shopping,Art Gallery,Food Shops"
AdvenTour in Cork,http://www.adventourincork.com/english.html,+353(0)899810517,-8.47502159701708,51.8970869054031,Cork,Cork City,Republic of Ireland,"Activity Operator,Tour"
ADVENTURE 001 Ireland,https://www.adventure001.ie,+353(0)51347331,-7.086347,52.186723,Waterford,Waterford City,Republic of Ireland,"Activity Operator,Day Tour,Tour"
ADVENTURE 001 Ireland - Helicopter Tours,http://adventure001.ie/,+353(0)51347331,-9.31895341098016,53.0188517199791,Clare,Lisdoonvarna,Republic of Ireland,"Activity Operator,Tour"
Adventure Breaks Ireland - Segway Tour,http://adventurebreaksireland.com/adventures-by-land/,+353(0)876067518,-6.25930291817713,53.3488728652515,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
Adventure Breaks Ireland Bicycle Rental,https://www.adventurebreaksireland.com/bike-rental-3,353876067518,-6.25930828259504,53.3488840730941,Dublin,Dublin City,Republic of Ireland,"Cycling,Bike Rental"
Adventure Burren,http://www.adventureburren.com,+353(0)872244569,-9.0551087,53.0382944,Clare,The Burren,Republic of Ireland,"Activity Operator,Climbing,Cycling,Kayaking"
Adventure Gently,http://www.adventuregently.com,353851821547,-8.3012295257849,54.2304964391538,Leitrim,Dromahair,Republic of Ireland,"Kayaking,Activity Operator"
Adventure Getaways with Connemara Wild Escapes,http://www.connemarawildescapes.ie/adventure/,+353(0)863771025,-9.94810605761722,53.5536588112235,Galway,Letterfrack,Republic of Ireland,"Activity Operator,Tour"
Adventure Kayaking Tours,http://www.northclareseakayaking.com,353851195489,-9.20297,52.93231,Clare,Doolin,Republic of Ireland,"Kayaking,Activity Operator"
Adventure One Surf School,http://www.adventureone.net,353876285565,-7.701934,55.247959,Donegal,Fanad,Republic of Ireland,"Surfing,Activity Operator"
Adventure Rooms Dublin,https://adventurerooms.ie/,35318727927,-6.2704305,53.3496638,Dublin,Dublin City,Republic of Ireland,"Covid Safety Charter,Activity Operator"
Adventure Tours Inis Mor,http://facebook.com/Adventure-Tours-Inis-Mor-327265997806468/,353879547571,-9.66904792855837,53.1191408281519,Galway,Inishmore - Árainn (Aran Islands),Republic of Ireland,"Covid Safety Charter,Activity Operator,Tour"
Aer Arann Islands,http://www.aerarannislands.ie,+353(0)91593034,-9.46731509511847,53.232080708613,Galway,Inveran,Republic of Ireland,"Coach,Road,Transport"
Aerfort Réigiúnach Chonamara (Connemara Regional Airport),,,-9.46964,53.232266,Galway,Inveran,Republic of Ireland,"Transport,Coach,Road"
Aghaboe Abbey,,353578739628,-7.5140093,52.9222166,Laois,Aghaboe,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Agharinagh Inspirational Gardens,http://www.griffinsgardencentre.ie,353217334286,-8.724551,51.912194,Cork,Dripsey,Republic of Ireland,"Gardens,Garden"
Agricultural Heritage Display Centre,http://www.coolakayhouse.ie/museum,35312862423,-6.1880463,53.1667259,Wicklow,Enniskerry,Republic of Ireland,"Agriculture,Nature and Wildlife,Museums and Attraction"
Ahakista Air India Plane Disaster Memorial,http://livingthesheepsheadway.com/air-india-disaster-memorial,3532821489,-9.621448,51.59751,Cork,Ahakista,Republic of Ireland,Public Sculpture
Ahenny High Crosses,http://www.megalithicireland.com/High%20Cross%20Ahenny.htm,,-7.39333338161782,52.4125374566596,Tipperary,Ahenny,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Ahoy Café,https://www.facebook.com/ahoycafekillybegs,353749731952,-8.4460411,54.6333848,Donegal,Killybegs,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Cafe,Seafood"
Aidi MacDáibhi Celtic Jewellery,http://www.celticjewelry.ie,353834834176,-9.482015,52.447323,Kerry,Listowel,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
Aileach Restaurant,https://www.clanreehotel.com/dining.html,353749124369,-7.6983954,54.9436594,Donegal,Letterkenny,Republic of Ireland,"Food and Drink,Restaurant"
Aillebrack Green Coast Beach 2019,http://www.cleancoastsireland.org,,-10.1401412242919,53.4164726309031,Galway,Ballyconneely,Republic of Ireland,Beach
Duplicate Aillwee Cave & The Birds Of Prey Centre,http://www.aillweecave.ie,353657077036,-9.143653,53.089126,Clare,Ballyvaughan,Republic of Ireland,"Learning,Museums and Attraction,Falconry,Nature and Wildlife,Bird Watching,Walking,Visitor Farm,Natural Landscape,Cafe,Food and Drink,Tour,Food Shops,Shopping"
Aillwee Cave & The Birds of Prey Centre,http://www.aillweecave.ie,353657077036,-9.1436674,53.0891282,Clare,Ballyvaughan,Republic of Ireland,"Covid Safety Charter,Learning,Falconry,Nature and Wildlife,Museums and Attraction,Natural Landscape,Activity Operator,Cafe,Food and Drink,Tour,Food Shops,Shopping"
Aine Dunne - Fine Art Tapestry Weaver,http://www.ainedunneweaver.com,353879112502,-6.351277,53.762114,Louth,Drogheda,Republic of Ireland,"Learning,Craft,Shopping,Art Gallery,Activity Operator"
Aircoach,http://aircoach.ie,+353(0)18447118,-6.243069,53.428486,Dublin,Dublin Airport,Republic of Ireland,"Transport,Coach,Road"
Airfield Estate,http://www.airfield.ie,35319696666,-6.2369953,53.2881795,Dublin,Dundrum,Republic of Ireland,"Covid Safety Charter,Restaurant,Walking,Visitor Farm,Local Produce,Food and Drink,Food Shops,Shopping,Tour"
Airmid Natural Handmade Skincare,https://airmidsoap.com/pages/about-us,353892066292,-9.2627951,53.0044789,Kerry,Waterville,Republic of Ireland,"Learning,Craft,Shopping"
AJLA Restaurant,https://www.ajla.ie,35391485413,-8.8803425,53.2276828,Galway,Clarinbridge,Republic of Ireland,"Food and Drink,Restaurant,Seafood"
Alaind Walking Sneem,https://alaindwalkingireland.ie,353852581480,-9.9086594,51.84421,Kerry,Sneem,Republic of Ireland,"Walking,Activity Operator,Tour"
Alainn Tours,http://www.vacancesenirlande.com,+353(0)719150345,-8.49441129053582,54.276444346788,Sligo,Sligo Town,Republic of Ireland,"Activity Operator,Tour"
Alan Gaillard Stoneware Pottery,http://www.alangaillard.com,3539522786,-10.031529,53.503391,Galway,Clifden,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
Albatross Escape Rooms,https://www.albatrossescape.ie,353838957777,-9.453056,51.6806008,Cork,Bantry,Republic of Ireland,Activity Operator
Alex Restaurant,https://twitter.com/ConradDublin,+353(0)16028900,-6.257232,53.334945,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant,Seafood"
Alfie Byrne's,http://galwaybaybrewery.com/alfiebyrnes/,+353(0)16028976,-6.25750520601275,53.3347402832561,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar,Vegetarian"
Alfie's Bar and Grill,http://www.conraddublin.com,+353(0)16028900,-6.257232,53.334945,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar,Seafood,Vegetarian"
Alix Gardners Cookery School,http://www.dublincookery.com,+353(0)16681553,-6.245333,53.329644,Dublin,Ballsbridge,Republic of Ireland,"Learning,Cooking,Cookery,Historic Houses and Castle,Activity Operator,Artisan,Food and Drink,Restaurant,Local Produce"
All Ireland Chauffeur - Coach Tours,http://www.allirelandchauffeurtours.com,+353(0)876613619,-7.07549231468045,52.2393818711705,Waterford,Waterford City,Republic of Ireland,"Activity Operator,Tour"
All Things Connemara,https://www.connemara.net/things-connemara,3539522630,-10.0206564,53.4875722,Galway,Clifden,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Activity Operator,Bike Rental,Cycling,Food Shops"
Allihies - Ballydonegan Loop,http://www.bearatourism.com/loopallihies.html,+353(0)2770054,-10.0509686404297,51.650442197433,Cork,Allihies,Republic of Ireland,Walking
Allihies - Kealogue Mine Loop,http://www.irishtrails.ie/Trail/Allihies---Kealoge-loop/630/,+353(0)2770054,-10.0516552859375,51.6489510524492,Cork,Allihies,Republic of Ireland,Walking
Allihies Copper Mine Museum,http://www.acmm.ie/theminemuseum,3532773218,-10.045585,51.638933,Cork,Allihies,Republic of Ireland,"Covid Safety Charter,Learning,Walking,Museums and Attraction,Cafe,Food and Drink"
Allihies Copper Mine Tour,http://bearabaoitours.com,+353(0)876461627,-10.045510909174,51.6391211806187,Cork,Allihies,Republic of Ireland,"Walking,Activity Operator,Tour"
"Allo's Restaurant, Bar & Bistro",https://www.facebook.com/Allosbarbistro,3536822880,-9.4842248,52.4465992,Kerry,Listowel,Republic of Ireland,"Food and Drink,Restaurant"
Aloha Surf School,http://www.surfschool.ie,353872133996,-9.2861007,53.1174754,Clare,Fanore,Republic of Ireland,"Surfing,Activity Operator"
Alpha College of English,http://www.alphacollege.com,+353(0)18747024,-6.26182401719666,53.3552083170315,Dublin,Dublin City,Republic of Ireland,Learning
Alpine Fishery,,+353(0)9636733,-9.09244,54.2159,Sligo,Enniscrone,Republic of Ireland,"Fishing,Angling"
Altamont Gardens,https://heritageireland.ie/visit/places-to-visit/altamont-gardens/,353599159444,-6.72083739021298,52.7357813084342,Carlow,Tullow,Republic of Ireland,"Gardens,Garden,Cafe,Food and Drink"
Altar,,,-9.6438852,51.514061,Cork,Schull,Republic of Ireland,Discovery Point
Alternative Bread Company,https://www.instagram.com/alternativebread/?hl=en,353214251347,-8.4747435,51.8976506,Cork,Cork City,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Alternative Visions,http://alternativevisions.co.uk,353872825851,-7.969439296019,55.1832747091389,Donegal,Dunfanaghy,Republic of Ireland,"Photography,Learning,Activity Operator,Tour"
Altidore Castle,https://www.ihh.ie/index.cfm/houses/house/name/Altidore%20Castle,353877601369,-6.1381173,53.1106151,Wicklow,Kilpedder West,Republic of Ireland,"Museums and Attraction,Historic Houses and Castle,Castle"
Altitude Cycle & Outdoor Store,http://www.altitude.ie,35351870356,-7.1187809,52.2602341,Waterford,Waterford City,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Alvito's Italian Restaurant,https://alvitos.ie,35316242160,-6.4883839,53.3643182,Kildare,Leixlip,Republic of Ireland,"Food and Drink,Restaurant"
Amazing Irish Vacations,https://www.facebook.com/Amazingirishvacations,+353(0)61484911,-8.62726945078339,52.6631013855745,Limerick,Dooradoyle,Republic of Ireland,"Activity Operator,Tour"
Ambassador Theatre,,+353(0)0818333773,-6.261968,53.352709,Dublin,Dublin City,Republic of Ireland,
Amicus Restaurant,http://www.amicusrestaurant.ie,353214276455,-8.474213,51.899358,Cork,Cork City,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant"
AMOC Jewellery,http://www.amoc.ie,35312871515,-6.0625099,53.1443074,Wicklow,Greystones,Republic of Ireland,"Shopping,Shopping Centres and Department Store,Craft,Food Shops"
An Blascaod Mór,,,-10.536,52.0895,Kerry,Dunquin,Republic of Ireland,Discovery Point
An Bonnán Buí,https://anbonnanbui.ie,353749158868,-7.53358418684104,55.0952355866344,Donegal,Rathmullan,Republic of Ireland,"Food and Drink,Restaurant,Seafood,Vegetarian"
An Builín Blasta,http://www.odonoghuesbakery.com,3539781800,-9.989789,54.223721,Mayo,Belmullet,Republic of Ireland,"Food and Drink,Restaurant,Cafe"
An Chéibh Bheag (Cloghmore Pier),,,-9.9472967,53.880075,Mayo,Achill Island -Acaill,Republic of Ireland,"Fishing,Angling,Embarkation Point,Boat,Tour"
An Chonair (Conor Pass),,,-10.207747,52.181771,Kerry,Dingle,Republic of Ireland,Discovery Point
